numerical_id,idiom,idiom_literal_translation,idiomatic_meaning,idiomatic_meaning_translation,familiarity,sd_familiarity,n_familiarity,knowledge,sd_knowledge,n_knowledge,knowledge_%,decomposability,n_decomposability,literality,sd_literality,n_literality,predictability_%,n_predictability,valence,sd_valence,n_valence,arousal,sd_arousal,n_arousal,length_in_letters,length_in_words
12,Acercar posiciones,To bring positions closer together,Buscar puntos de encuentro en opiniones opuestas,Looking for common ground in opposing views,3.8518518518518516,1.955,27,4.571428571428571,2.501,21,47.61904761904761,0.7692307692307693,26,5.52,1.873,25,0.0,18,5.166666666666667,1.15,18,3.142857142857143,2.07,14,17,2
13,Acordarse de Santa Bárbara cuando truena,Remember Santa Barbara when it thunders,Ser poco previsor,Being short-sighted,1.5714285714285714,1.469,21,2.3333333333333335,1.915,15,33.33333333333333,0.125,24,4.1875,2.664,16,30.0,20,2.9,1.595,10,4.3,1.889,10,35,6
14,Actuar bajo cuerda,Acting underhand,A escondidas,Sneaking around,2.5714285714285716,1.748,21,2.4761904761904763,2.136,20,33.33333333333333,0.04,25,3.0,2.092,17,0.0,17,2.2,0.789,11,3.6956521739130435,1.55,23,16,3
15,Adelantarse a su tiempo,Be ahead of your time,Ser pionero,Being a pioneer,4.08,1.778,25,5.857142857142857,1.652,21,61.904761904761905,0.75,24,3.5217391304347827,1.855,23,15.0,20,4.111111111111111,1.875,18,4.2,1.609,20,20,4
16,Afilarse las uñas,Sharpen your nails,Prepararse para una discusión,Preparing for an argument,3.375,2.039,24,3.473684210526316,2.318,19,57.89473684210527,0.32,25,5.636363636363637,1.677,22,80.0,20,3.5454545454545454,1.654,22,3.8947368421052633,1.792,19,15,3
17,Aflojar la mosca,Loosen the fly,Pagar a disgusto,Paying unwillingly,1.9523809523809523,1.658,21,1.95,1.877,20,20.0,0.04,25,1.8421052631578947,1.608,19,5.0,20,3.2222222222222223,1.394,9,3.2857142857142856,1.976,7,14,3
18,Aflojar las riendas,Loosen the reins,Disminuir el control sobre algo,Decrease control over something,3.933333333333333,1.721,30,5.333333333333333,1.798,21,76.19047619047619,0.7857142857142857,28,5.157894736842105,2.035,19,10.526315789473683,19,4.586206896551724,0.983,29,3.074074074074074,1.269,27,17,3
19,Agachar las orejas,Ducking your ears,Someterse a otro,Submitting to another,3.9523809523809526,1.91,21,5.35,2.059,20,70.0,0.34782608695652173,23,4.130434782608695,1.914,23,68.42105263157895,19,2.2,1.24,20,2.619047619047619,1.203,21,16,3
20,Agarrarse a un clavo ardiendo,Holding on to a burning nail,Estar desesperado,To be desperate,4.833333333333333,1.761,24,5.631578947368421,1.571,19,66.66666666666666,0.4583333333333333,24,4.636363636363637,2.61,22,40.0,20,2.0,0.849,26,4.9,1.714,20,25,5
21,Agárrate que vienen curvas,"Hold on, there are curves ahead",Prepararse para una situación difícil,Preparing for a difficult situation,5.583333333333333,1.472,24,5.631578947368421,2.06,19,84.21052631578947,0.75,24,5.681818181818182,1.912,22,78.26086956521739,23,2.6923076923076925,1.123,26,5.05,1.791,20,23,4
22,Agitar el avispero,Shake the hornet's nest,Crear más problemas de los que ya hay,Creating more problems than there are already,1.56,0.917,25,4.142857142857143,2.197,21,52.38095238095239,0.6086956521739131,23,4.761904761904762,2.3,21,10.526315789473683,19,1.6666666666666667,0.767,18,5.722222222222222,1.018,18,16,3
23,Aguantar mecha,Hold on wick,Sufrir resignado una contrariedad o reprimenda,To suffer resignedly a setback or reprimand,1.84,1.463,25,3.0,2.665,21,47.61904761904761,0.08695652173913043,23,3.0,2.062,17,0.0,19,4.466666666666667,1.187,15,4.571428571428571,1.505,14,13,2
24,Aguántate mientras cobro,Hold on while I collect,"Algo inestable, a punto de caer","Something unstable, about to fall",1.3571428571428572,0.678,28,1.105263157894737,0.315,19,0.0,0.08695652173913043,23,4.846153846153846,2.154,13,0.0,20,2.5,1.049,6,2.8125,1.047,16,22,3
25,Agudizar el ingenio,Sharpen your wits,Aplicar intensamente la inteligencia,To apply one's intelligence intensely,4.0,2.167,24,4.684210526315789,2.083,19,73.68421052631578,0.6086956521739131,23,3.75,2.176,16,5.555555555555555,18,5.8,1.105,20,4.1875,1.797,16,17,3
26,Ahogar las penas,Drown your sorrows,Olvidar algo doloroso bebiendo alcohol,Forgetting something painful by drinking alcohol,6.045454545454546,1.588,22,6.0,1.633,22,86.36363636363636,0.6521739130434783,23,2.388888888888889,1.29,18,90.0,20,3.24,1.715,25,3.814814814814815,2.058,27,14,3
27,Ahogarse en un vaso de agua,Drowning in a glass of water,Agobiarse por causas insignificantes,Being overwhelmed by insignificant causes,6.045454545454546,1.527,22,6.181818181818182,1.651,22,95.45454545454545,0.7391304347826086,23,2.4444444444444446,1.338,18,100.0,20,1.68,0.802,25,2.8461538461538463,2.034,26,22,6
28,Ahuecar el ala,To hollow out the wing,Marcharse ,Leaving ,3.888888888888889,1.805,27,4.428571428571429,2.657,21,42.857142857142854,0.09090909090909091,22,3.576923076923077,2.419,26,52.63157894736842,19,3.7777777777777777,0.647,18,2.9411764705882355,1.749,17,12,3
29,Airear los trapos sucios,Airing dirty laundry,Explicar defectos o disputas privadas,Explaining defects or private disputes,3.875,2.153,24,5.2631578947368425,2.051,19,72.22222222222221,0.2857142857142857,28,5.818181818181818,1.68,22,88.23529411764706,17,2.92,1.778,25,3.35,1.785,20,21,4
30,Alegrar la vista,To brighten the view,Disfrutar de lo que se está mirando,Enjoying what you are looking at,5.37037037037037,1.471,27,6.285714285714286,0.902,21,100.0,0.9583333333333334,24,3.6153846153846154,2.385,26,50.0,20,6.363636363636363,0.727,22,4.65,1.755,20,14,3
31,Allanar el camino,Smoothing the way,Facilitar,Facilitating,4.129032258064516,1.979,31,5.428571428571429,1.912,21,85.71428571428571,0.92,25,6.136363636363637,1.125,22,23.809523809523807,21,5.8,0.951,20,2.9523809523809526,2.109,21,15,3
32,Alucinar por un tubo,To hallucinate through a tube,Sorprenderse mucho,Being very surprised,4.909090909090909,2.223,22,4.954545454545454,2.478,22,68.18181818181817,0.391304347826087,23,2.111111111111111,1.367,18,58.82352941176471,17,4.217391304347826,1.445,23,5.461538461538462,1.476,26,17,4
33,Alzar el vuelo,To take flight,Marcharse,Leaving,4.290322580645161,2.036,31,4.619047619047619,1.987,21,71.42857142857143,0.8260869565217391,23,5.590909090909091,1.221,22,45.0,20,5.523809523809524,1.25,21,5.05,1.82,20,12,3
34,Andar a la greña,To walk at messy hair,Reñir,To tell off,2.15,1.387,20,2.25,2.049,20,20.0,0.047619047619047616,21,2.4,1.454,15,5.0,20,1.3333333333333333,0.707,9,4.888888888888889,1.641,18,13,4
35,Andar a salto de mata,To walk by jump of bush,Aprovechando ocasiones casuales,Taking advantage of casual occasions,1.8095238095238095,1.75,21,1.7777777777777777,1.478,18,22.22222222222222,0.0,26,2.25,1.982,8,20.0,20,2.9130434782608696,1.041,23,3.25,1.485,12,17,5
36,Andar como Pedro por su casa,To walk like Peter in his own house,Desenvolverse sin problemas en un sitio,Moving around smoothly in a place,5.592592592592593,1.716,27,6.285714285714286,1.384,21,80.95238095238095,0.5454545454545454,22,4.222222222222222,2.154,27,100.0,18,4.681818181818182,1.323,22,2.75,1.713,20,23,6
37,Andar con cien ojos,To walk with a hundred eyes,Actuar con mucho cuidado y precaución,Acting with great care and caution,3.8,2.0,25,5.714285714285714,1.454,21,100.0,0.8181818181818182,22,2.4166666666666665,1.692,24,11.76470588235294,17,4.809523809523809,1.537,21,4.619047619047619,1.687,21,16,4
38,Andar con la soga al cuello,Walking with a rope around your neck,Situación muy comprometida,Being in a very compromising situation,4.238095238095238,1.814,21,5.476190476190476,1.914,20,66.66666666666666,0.5652173913043478,23,5.318181818181818,1.836,22,38.88888888888889,18,1.380952380952381,0.498,22,4.4,2.041,25,22,6
39,Andar con ojo,To walk with an eye,Tener cuidado,To be careful,6.258064516129032,0.965,31,6.285714285714286,1.384,21,95.23809523809523,0.6956521739130435,23,2.727272727272727,1.453,22,84.21052631578947,19,3.65,1.424,20,3.5454545454545454,1.471,22,11,3
40,Andar con pies de plomo,To walk with leaden feet,Actuar con mucha cautela,Acting very cautiously,4.857142857142857,1.905,21,6.0,1.924,20,80.95238095238095,0.28,25,2.772727272727273,1.771,22,78.26086956521739,23,4.1,1.41,21,3.32,1.435,25,19,5
41,Andar de capa caída,To walk in the doldrums,Estar deprimido,Being depressed,5.041666666666667,2.236,24,6.315789473684211,1.416,19,100.0,0.3333333333333333,24,2.5,1.792,20,85.0,20,1.6521739130434783,0.573,23,2.5,2.09,20,16,4
42,Andar en la cuerda floja,Walking on a tightrope,Situación peligrosa o de riesgo,Dangerous or risky situation,4.4,1.847,20,5.7,1.418,20,90.0,0.8333333333333334,24,5.6521739130434785,1.369,23,100.0,20,1.7777777777777777,0.943,18,3.56,1.917,25,20,5
43,Andar mal de la azotea,Walking wrong of the roof,Tener perturbada la razón,Being disturbed in one's reason,4.380952380952381,1.884,21,6.055555555555555,1.392,18,94.44444444444444,0.5,30,2.75,1.682,20,0.0,17,1.8076923076923077,0.895,26,3.25,1.773,20,18,5
44,Andar pisando huevos,Walking on eggshells,Hacer algo muy lentamente,Doing something too slowly,5.619047619047619,1.564,21,5.857142857142857,1.905,20,66.66666666666666,0.42857142857142855,21,4.909090909090909,2.348,22,65.0,20,2.4761904761904763,1.03,22,2.96,1.594,25,18,3
45,Andarse con rodeos,To beat around the bush,Desviarse de la verdad o lo principal,Deviating from the truth or the main thing,5.642857142857143,1.496,28,6.7894736842105265,0.419,19,100.0,0.4782608695652174,23,3.6315789473684212,2.114,19,47.05882352941176,17,2.6842105263157894,1.157,19,2.5384615384615383,1.392,26,16,3
46,Andarse por las ramas,To beat around the bush,No centrarse en lo importante,Not focusing on what is important,5.909090909090909,1.377,22,6.5,1.263,22,95.45454545454545,0.21739130434782608,23,3.6666666666666665,1.847,18,70.0,20,3.24,0.723,25,3.5555555555555554,1.649,27,18,4
47,Anunciar a bombo y platillo,To announce with great fanfare,Con gran publicidad,With great publicity,2.2142857142857144,1.524,28,5.0,2.236,19,84.21052631578947,0.4583333333333333,24,3.1333333333333333,1.995,15,41.17647058823529,17,4.615384615384615,0.961,13,5.1,1.294,20,23,5
48,Apaga y vámonos,Turn off and let's go,Esto es absurdo o disparatado,This is absurd or nonsensical,6.433333333333334,1.04,30,5.714285714285714,1.454,21,80.95238095238095,0.43478260869565216,23,6.0476190476190474,1.802,21,85.0,20,3.25,1.404,28,3.5517241379310347,2.08,29,13,3
49,Aparecer por arte de birlibirloque,Appearing by art of magic,"De forma imprevista, mágica","Unexpectedly, magically",1.8571428571428572,1.711,21,3.4444444444444446,2.093,18,66.66666666666666,0.18181818181818182,22,2.0,1.414,8,0.0,20,4.125,1.424,24,4.125,1.808,8,30,5
50,Aplicar doble vara de medir,Applying double standards,Juzgar  a dos personas con distintos criterios,Judging two people by different criteria,2.2,1.881,20,3.1,2.49,20,25.0,0.23076923076923078,26,4.136363636363637,1.781,22,30.434782608695656,23,3.272727272727273,1.421,11,3.4444444444444446,1.822,18,23,5
51,Apostar a caballo ganador,Betting on a winning horse,Ir a lo seguro,Playing it safe,3.9523809523809526,1.962,21,5.277777777777778,2.024,18,94.44444444444444,0.8260869565217391,23,6.2631578947368425,0.733,19,45.0,20,5.538461538461538,1.303,26,4.619047619047619,2.012,21,22,4
52,Apostar por alguien,Betting on someone,Confiar en la capacidad de alguien,Confidence in someone's ability,5.148148148148148,1.61,27,6.476190476190476,0.873,21,95.23809523809523,1.0,22,6.111111111111111,1.188,27,15.789473684210526,19,5.380952380952381,1.117,21,5.05,1.538,20,17,3
53,Apuntar maneras,Show promise,Se aprecia que va a destacar en algo,It is appreciated that he/she will excel in something,4.818181818181818,2.039,22,5.136363636363637,2.21,22,72.72727272727273,0.5909090909090909,22,3.1666666666666665,1.654,18,19.047619047619047,21,4.947368421052632,1.471,19,4.64,1.846,25,14,2
54,Apuntarse a un bombardeo,Aiming for a bombing,Dispuesto a participar en cualquier asunto,Willing to participate in any matter,5.0,2.179,25,5.285714285714286,2.452,21,76.19047619047619,0.48,25,4.045454545454546,2.058,22,38.88888888888889,18,5.7,1.418,20,5.954545454545454,0.785,22,21,4
55,Aquellos polvos trajeron estos lodos,The dust has turned to mud,Un error previo conlleva consecuencias,A previous mistake has consequences,1.35,1.089,20,2.35,1.954,20,30.0,0.2608695652173913,23,3.789473684210526,1.932,19,14.285714285714285,21,2.5714285714285716,1.134,7,2.75,1.612,16,32,5
56,Aquí hay gato encerrado,There's a cat in the bag,Desconfiar de una situación ,Distrust a situation ,5.185185185185185,1.665,27,6.619047619047619,0.669,21,100.0,0.16,25,5.0,2.434,27,88.88888888888889,18,2.5,1.3,22,4.947368421052632,1.268,19,20,4
57,Aquí hay tema,Here's a theme,Hay posibilidad amorosa o sexual,There is a romantic or sexual possibility,5.904761904761905,1.729,21,6.190476190476191,1.47,20,61.904761904761905,0.5652173913043478,23,3.8181818181818183,2.363,22,35.294117647058826,17,5.571428571428571,1.165,22,4.84,1.818,25,11,3
58,"Aquí te pillo, aquí te mato","Here I catch you, here I kill you",Hacer algo sin reflexionar,Doing something without thinking,5.6,1.528,25,6.142857142857143,1.459,21,85.71428571428571,0.5909090909090909,22,4.041666666666667,2.156,24,83.33333333333334,18,4.545454545454546,1.371,22,5.636363636363637,1.59,22,22,6
59,Arañar votos,To scratch for votes,Obtener votos,Getting votes,2.227272727272727,1.602,22,3.409090909090909,2.384,22,36.36363636363637,0.391304347826087,23,3.8666666666666667,1.727,15,0.0,17,2.357142857142857,1.151,14,2.5294117647058822,1.7,17,11,2
60,Armarse la de Dios es Cristo,Kick up that of God is Christ,Montarse un gran follón,Making a big fuss,3.6666666666666665,2.278,24,5.052631578947368,2.172,19,68.42105263157895,0.22727272727272727,22,1.4761904761904763,1.078,21,50.0,20,2.1904761904761907,1.504,21,4.4,2.349,20,23,6
61,Armarse la Marimorena,Kick up the Marimorena,Se genera un alboroto o tumulto,A riot or commotion is generated,4.741935483870968,1.966,31,5.238095238095238,1.921,21,90.47619047619048,0.2916666666666667,24,1.6363636363636365,0.902,22,17.647058823529413,17,2.5238095238095237,0.981,21,5.590909090909091,1.501,22,19,3
62,Arrancar un problema de raíz,Rooting out a problem,Hacer desaparecer un problema yendo al orígen,Make a problem go away by going to the source,5.387096774193548,1.856,31,6.142857142857143,1.014,21,100.0,0.9565217391304348,23,3.3181818181818183,1.961,22,65.0,20,5.8,1.361,20,4.909090909090909,1.509,22,24,5
63,Arreglárselas bien,To manage yourself well,Ser ingenioso para salir de un apuro,Being resourceful to get out of a jam,5.777777777777778,1.423,27,5.809523809523809,1.209,21,95.23809523809523,0.88,25,5.444444444444445,1.826,27,17.391304347826086,23,5.954545454545454,0.999,22,3.75,1.997,20,17,2
64,Arrimar el ascua a su sardina,Bring the ember to your sardine,Intentar sacar el máximo beneficio para uno mismo,Trying to get the maximum benefit for oneself,1.380952380952381,0.921,21,2.066666666666667,1.944,15,13.333333333333334,0.045454545454545456,22,3.888888888888889,2.261,9,21.052631578947366,19,3.8333333333333335,1.169,6,2.5,1.291,4,24,6
65,Arrimar el hombro,Bring the shoulder,Ayudar (en algo o a alguien),Helping (in something or someone),5.387096774193548,1.874,31,5.666666666666667,1.592,21,71.42857142857143,0.34782608695652173,23,5.818181818181818,1.332,22,38.88888888888889,18,4.894736842105263,1.663,19,4.142857142857143,1.797,21,15,3
66,Arrimarse al sol que más calienta,Get close to the hottest sun,Ponerse de parte de una persona que nos favorece,Taking the side of a person who favors one's self,4.190476190476191,2.136,21,5.333333333333333,2.198,20,76.19047619047619,0.42857142857142855,21,2.7142857142857144,2.171,21,50.0,18,3.6666666666666665,1.683,22,3.88,1.616,25,28,6
67,Así le luce el pelo,That's how your hair looks,Alguien a quien no le va muy bien,Someone who is not doing very well,2.4285714285714284,1.989,21,2.1666666666666665,1.757,18,11.11111111111111,0.045454545454545456,22,5.5,1.789,16,22.22222222222222,18,3.24,1.332,25,4.0,1.892,20,15,5
68,Atar cabos,Tying the knot,Unir datos para resolver una cuestión,Putting facts together to solve a question,5.761904761904762,1.261,21,6.466666666666667,0.99,15,73.33333333333333,0.782608695652174,23,5.761904761904762,1.578,21,31.57894736842105,19,4.961538461538462,1.216,26,4.0,1.834,23,9,2
69,Atar los perros con longaniza,Tying the dogs with sausages,Derrochar el dinero,To squander money,1.1904761904761905,0.402,21,1.6,1.231,20,0.0,0.15384615384615385,26,3.25,2.206,16,10.0,20,2.875,1.727,8,3.6666666666666665,1.633,6,25,5
70,Atarse los machos,Tying up the males,Prepararse para enfrentarse a algo difícil,Preparing to face something difficult,3.3333333333333335,1.958,21,2.35,1.899,20,5.0,0.09523809523809523,21,2.0,1.609,18,4.3478260869565215,23,3.090909090909091,1.578,11,4.083333333333333,1.379,12,15,3
71,Bailar con la más fea,Dancing with the ugly one,Hacer algo que nadie quiere hacer,Doing something no one wants to do,3.5161290322580645,1.981,31,2.238095238095238,1.921,21,42.857142857142854,0.30434782608695654,23,6.0476190476190474,1.161,21,21.052631578947366,19,1.9375,0.772,16,2.736842105263158,1.593,19,17,5
72,Bajar los humos,To lower the fumes,Rebajar la altivez,Lowering one's pride,6.44,0.712,25,6.333333333333333,1.426,21,95.23809523809523,0.2727272727272727,22,2.875,1.676,24,75.0,20,3.0454545454545454,1.588,22,3.727272727272727,1.882,22,13,3
73,Bajar marcha,Downshift,Apaciguarse,Appease,3.2916666666666665,2.274,24,4.0,2.38,19,68.42105263157895,0.6666666666666666,30,4.8,2.308,20,0.0,20,3.6,1.231,20,2.3333333333333335,1.455,18,11,2
74,Bajarse del burro,Get off the donkey,Claudicar,Giving in,3.8095238095238093,2.205,21,5.444444444444445,1.294,18,77.77777777777779,0.13043478260869565,23,5.333333333333333,2.142,18,40.0,20,3.44,1.294,25,2.7,1.78,20,15,3
75,Bajarse los pantalones,To lower one's pants,Humillarse y ceder ante una presión,Humble oneself and give in to pressure,4.3,2.179,20,4.8,2.042,20,55.00000000000001,0.3181818181818182,22,5.909090909090909,1.54,22,85.71428571428571,21,2.2941176470588234,1.213,17,4.086956521739131,1.905,23,20,3
76,Barrer para casa,Sweep for home,Comportarse interesadamente,Behaving self-servingly,4.142857142857143,1.711,21,4.2,2.597,15,46.666666666666664,0.375,24,5.0,2.025,21,33.33333333333333,21,4.48,1.295,25,3.3,1.78,20,14,3
77,Batirse el cobre con alguien,Combat the copper to someone,Disputar con empeño algo con alguien,To dispute something with someone,1.5,0.974,30,2.4285714285714284,2.014,21,28.57142857142857,0.21739130434782608,23,1.9230769230769231,1.441,13,8.695652173913043,23,2.3846153846153846,1.502,13,4.4375,1.59,16,24,5
78,Beber los vientos por alguien,To drink the winds for someone,Estar muy enamorado de alguien,Being very much in love with someone,2.3870967741935485,2.011,31,3.5714285714285716,2.541,21,42.857142857142854,0.0,23,1.9047619047619047,1.091,21,35.0,20,4.7,1.252,10,4.857142857142857,1.351,14,25,5
79,Besar el culo a alguien,Kiss someone's ass,Adular a alguien en exceso ,Flattering someone excessively ,5.545454545454546,2.064,22,6.090909090909091,1.54,22,95.45454545454545,0.4583333333333333,24,5.117647058823529,1.996,17,47.368421052631575,19,1.96,1.06,25,2.3461538461538463,1.853,26,19,5
80,Brillar por su ausencia,To shine by its absence,No estar algo/alguien presente cuando se esperaría,Not being present when you would expect something/someone to be present,5.095238095238095,1.998,21,6.05,1.356,20,20.0,0.6,30,2.260869565217391,1.63,23,52.17391304347826,23,2.7142857142857144,1.901,21,3.0476190476190474,1.359,21,20,4
81,"Burro grande, ande o no ande","Big donkey, whether he goes or not","Elegir lo más grande, aunque no sea lo mejor","Choosing the greatest thing, even if it is not the best thing",3.142857142857143,2.032,21,2.7142857142857144,2.686,20,23.809523809523807,0.23809523809523808,21,4.2105263157894735,2.347,19,25.0,20,4.285714285714286,0.994,15,3.0,1.694,24,23,6
82,Buscarle a uno las cosquillas,Search for someone's tickles,Hacer enfadar a alguien ,Making someone angry ,5.681818181818182,1.756,22,6.0,1.414,22,72.72727272727273,0.12,25,5.0,1.782,18,65.21739130434783,23,2.76,0.831,25,4.8,1.732,25,25,5
83,Buscarle las vueltas a alguien,Looking for someone's turns,Buscar el punto débil de alguien para sacar provecho,Looking for someone's weak point to take advantage of it,3.4761904761904763,1.914,21,4.666666666666667,1.94,18,94.44444444444444,0.23809523809523808,21,2.6315789473684212,1.3,19,25.0,20,2.88,1.201,25,3.5789473684210527,1.61,19,26,5
84,Buscarle tres pies al gato,Looking for three feet to the cat,Buscar razones sin sentido,Looking for meaningless reasons,4.9523809523809526,1.962,21,6.333333333333333,1.278,20,66.66666666666666,0.4230769230769231,26,3.272727272727273,2.028,22,90.0,20,2.9047619047619047,0.831,22,3.2083333333333335,1.444,24,22,5
85,Cada cual habla de la feria según le va en ella,Each one talks about the fair as he/she goes through it,Hablamos según el daño o provecho obtenido.,We speak according to the harm or advantage gained.,1.6666666666666667,1.826,21,3.5,2.256,18,50.0,0.2608695652173913,23,4.9375,2.081,16,19.047619047619047,21,3.5833333333333335,0.929,24,3.5789473684210527,1.387,19,37,11
86,Caer chuzos de punta,Falling spiked sticks,Llover con mucha fuerza,To rain with a lot of force,2.3870967741935485,1.927,31,4.380952380952381,2.578,21,66.66666666666666,0.0,23,3.0,1.952,22,33.33333333333333,18,2.0,0.866,9,3.357142857142857,2.023,14,17,4
87,Caer como una bomba,To fall like a bomb,Sentar mal,Make to feel bad,2.2857142857142856,1.648,21,4.3,1.976,20,45.0,0.21739130434782608,23,3.55,1.849,20,5.0,20,2.5,1.454,14,4.666666666666667,1.534,18,16,4
88,Caer en saco roto,To fall on broken sack,No hacer caso,To ignore,2.5416666666666665,1.693,24,3.4210526315789473,2.036,19,31.57894736842105,0.041666666666666664,24,3.65,2.3,20,47.05882352941176,17,2.1904761904761907,0.814,21,1.9333333333333333,1.1,15,14,4
89,Caerse de la higuera,Falling off the fig tree,Enterarse de algo que todos saben ya,To find out something that everyone already knows,2.0,1.517,21,3.466666666666667,2.446,15,53.333333333333336,0.1,30,5.157894736842105,2.267,19,4.761904761904762,21,2.65,1.04,20,3.2142857142857144,1.578,14,17,4
90,Caerse la cara de vergüenza,To fall down the face with shame,Estar muy avergonzado,To be very embarrassed,5.962962962962963,1.018,27,6.333333333333333,1.197,21,80.95238095238095,0.8571428571428571,28,2.2222222222222223,1.867,27,80.0,20,1.8181818181818181,1.622,22,4.15,1.899,20,23,5
91,Caérsele el mundo encima,To have the world fall on one's head,Sentirse desamparado ante un acontecimiento adverso,Feeling helpless in the face of an adverse event,6.066666666666666,1.048,30,6.619047619047619,0.74,21,100.0,0.5909090909090909,22,2.761904761904762,2.406,21,66.66666666666666,18,1.1379310344827587,0.351,29,3.0689655172413794,2.251,29,21,4
92,Caérsele el pelo a alguien,To fall down someone's hair,Hacer algo malo y sufrir las consecuencias,Doing something wrong and suffering the consequences,5.238095238095238,1.841,21,5.833333333333333,1.043,18,94.44444444444444,0.12,25,4.95,2.502,20,21.73913043478261,23,1.68,0.69,25,4.2105263157894735,2.149,19,22,5
93,Caérsele la baba,Drooling,Sentir admiración al ver u oir a alguien,Feeling admiration when watching or listening to someone,6.142857142857143,1.014,21,6.428571428571429,1.028,20,90.47619047619048,0.5,24,6.363636363636363,1.177,22,11.11111111111111,18,5.5,1.147,21,4.2,1.893,25,14,3
94,Caérsele los anillos,To fall off the rings,Rebajarse por hacer algo que no es de su nivel,Detract for doing something that is not at your level.,4.666666666666667,2.106,21,3.3333333333333335,2.497,20,33.33333333333333,0.043478260869565216,23,5.476190476190476,2.015,21,33.33333333333333,18,2.7777777777777777,1.06,19,3.652173913043478,1.668,23,18,3
95,Cagarse de miedo,To be scared shitless,Tener mucho miedo,Being very afraid,6.357142857142857,1.254,28,6.368421052631579,1.461,19,94.73684210526315,0.9565217391304348,23,5.0,1.886,19,73.68421052631578,19,1.5789473684210527,0.507,19,3.3846153846153846,2.299,26,14,3
