idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
tiene  lugar ,81,"De  estas  quejas ,  37  se  referían  a  una  escena  al  inicio  del  tercer  episodio  en  la  que  tiene  lugar  un  tiroteo  en  un  colegio  de  educación  primaria . ||| Debido  a  que  la  difusión  química  es  un  proceso  de  transporte  neto ,  el  sistema  en  el  que  tiene  lugar  no  es  un  sistema  de  equilibrio  ( es  decir ,  aún  no  está  en  reposo ) . ||| Red  Faction :  Guerrilla  tiene  lugar  en  2125 . ||| Este  fenómeno  astronómico  inusual  tiene  lugar  en  un  patrón  que  se  repite  cada  243  años . ||| El  juego  se  desarrolla  en  varias  ciudades  importantes  de  los  Estados  Unidos  y  tiene  lugar  durante  un  período  de  48  horas . ||| ( Esto  es  para  corroborar  que  la  película  tiene  lugar  aquí  y  ahora . ) ||| Night  Nurse  #  4  es  el  único  número  de  la  serie  que  tiene  lugar  lejos  de  metro  en  General  y  la  ciudad  de  Nueva  York . ||| La  historia  de  la  pista  siguiente ,  "" Forgotten  Love "" ,  tiene  lugar  un  año  después  de  esa  decisión  crucial . ||| Hotel  Transylvania  2  tiene  lugar  siete  años  después  de  la  primera  película ,  con  el  hotel  ahora  abierto  a  los  huéspedes  humanos . ||| El  juego  tiene  lugar  inmediatamente  después  de  su  predecesor ,  James  Pond ."
otra  vez,81,"En  Europa ,  sin  embargo ,  Napoleón  fracasó  una  y  otra  vez . ||| Alice  le  da  las  gracias  por  esto ,  ya  que  ahora  es  completamente  humana  otra  vez . ||| Ella  dijo :  "" Al  principio  era  una  y  otra  vez ;  solo  un  pequeño  toque . ||| Hind  -  discute  sobre  los  ideales  árabes  y  defiende  a  su  madre  otra  vez . ||| Finalmente ,  decidió  ponerse  en  contacto  con  el  aeropuerto  de  Marabá  otra  vez ,  para  encontrar  su  ubicación . ||| Machu  le  pidió  que  le  operara  otra  vez . ||| Escucharán  de  él  otra  vez "" . ||| "" Yo  sentía  que  el  activismo  era ... frustrante ;  repetíamos  las  mismas  prácticas  una  y  otra  vez . ||| « Vox ,  el  partido  político  que  quiere  "" hacer  España  grande  otra  vez "" » . ||| Si  fuera  joven  de  nuevo ,  quisiera  pasar  mi  vida  de  la  misma  manera  otra  vez ."
lleva  a  cabo ,76,"Los  procedimientos  FAMI  no  son  quirúrgicos ,  es  un  procedimiento  que  se  lleva  a  cabo  fuera  de  un  hospital . ||| La  USP  también  lleva  a  cabo  programas  de  verificación  de  productos  de  suplementos  dietéticos  e  ingredientes . ||| La  primera  parte  del  nivel  "" Taking  Liberties ""  se  lleva  a  cabo  en  esa  Power  Station . ||| El  complot  se  lleva  a  cabo  con  éxito  y  "" Don  Olivero ""  se  convierte  en  el  líder  de  la  Asamblea ,  proclamándose  el  nuevo  dictador  del  país ,  posición  que  mantiene  durante  25  años . ||| Durante  los  próximos  días ,  el  Sr.  Hoppy  lleva  a  cabo  la  segunda  parte  de  su  plan . ||| El  FDA  también  lleva  a  cabo  una  vigilancia  activa  de  ciertos  productos  regulados . ||| En  el  libro ,  Nimoy  lleva  a  cabo  diálogos  entre  él  y  Spock . ||| 1980  Febrero ,  en  el  Puerto  de  Veracruz ,  México ,  se  lleva  a  cabo  la  tercera  reunión  de  la  república . ||| Otra  temporada  de  pesca  se  lleva  a  cabo  a  principios  de  primavera . ||| Hay  al  menos  cuatro  perspectivas  filosóficas  diferentes  que  describen  cómo  se  lleva  a  cabo  el  trabajo  en  educación  química ."
hoy  en  día ,75,"No  hay  forma  de  estabilizar  Oriente  Medio  hoy  en  día  sin  derrotar  el  régimen  iraní . ||| Es  vital  reconocer  que  el  Israel  de  hoy  en  día  es  un  país  mixto . ||| Sin  embargo ,  es  en  el  nombre  de  estas  mismas  personas  que  uno  exige  hoy  en  día  ... ||| Además  de  este  papel  "" publicitario "" ,  los  medios  de  comunicación  es  hoy  en  día  una  herramienta  para  compartir  conocimiento  en  todo  el  mundo . ||| Unos  años  más  tarde ,  Baldwin  construyó  la  Torre  Burbant  -  que  todavía  se  pueden  ver  hoy  en  día  -  para  proteger  a  su  nueva  adquisición . ||| Muchos  koyukón  viven  hoy  en  día  en  un  modo  similar . ||| Nuestros  patriotas  han  luchado  por  ello  durante  siglos ,  pero  nos  es  hoy  en  día  que  tienen  el  destino  para  celebrar  la  apertura  del  museo . ||| Creado  en  2002 ,  hoy  en  día  Limagrain  Céréales  Ingrédients  es  líder  en  harinas  funcionales . ||| Desde  1799  hubo  una  cárcel  política ,  pero  hoy  en  día  la  isla  esta  abandonana  por  completo . ||| Incluso  hoy  en  día  todavía  hay  universidades  europeas  que  no  están  listas  para  emitir  Transcripciones  o  Suplementos  de  Diploma ."
en  busca ,73,"En  Filadelfia ,  Laurens  pudo  visitar  a  su  padre ,  quien  pronto  se  embarcaría  para  los  Países  Bajos  como  embajador  estadounidense ,  en  busca  de  préstamos . ||| Llegan  a  Los  Angeles  en  busca  de  dinero  y  poder . ||| El  30  por  ciento  de  la  población  vive  en  el  extranjero  o  se  ha  quedado  en  otros  pueblos  en  busca  de  mejores  condiciones  de  vida . ||| Camina  a  la  escuela  desnudo  y  va  a  Angie  en  busca  de  ayuda  y  consejo . ||| Se  ha  producido  un  importante  flujo  de  personas  procedentes  de  Bangladesh  y  Nepal  a  la  India  en  las  últimas  décadas  en  busca  de  un  mejor  trabajo . ||| Una  misteriosa  organización  persigue  encubiertamente  Tom  en  busca  de  los  negativos . ||| Ella  estará  con  Miles  en  busca  de  Luce  en  las  sombras . ||| Los  pocos  sobrevivientes  restantes  deciden  abandonar  Inglaterra  en  busca  de  un  clima  más  fácil . ||| « La  venezolana  Derwick ,  en  busca  de  oportunidades  de  inversión  en  el  sector  eléctrico  español » . ||| Ambos  grupos  miraron  directamente  a  la  Alemania  nazi  en  busca  de  su  inspiración  y  copiaron  al  Partido  Nazi  tanto  como  pudieron ."
Del  mismo  modo,71,"Del  mismo  modo ,  Japón  también  se  niega  a  ayudar . ||| Del  mismo  modo ,  CC  &  F  se  vio  obligada  a  desprenderse  de  diversos  activos . ||| Del  mismo  modo ,  puede  ser  costoso  para  las  empresas  encontrar  nuevos  proveedores  de  manera  diaria . ||| Del  mismo  modo ,  el  punto  de  ebullición  disminuye  con  la  presión  decreciente  hasta  que  se  alcanza  el  punto  triple . ||| Del  mismo  modo ,  en  el  boom  de  finales  de  la  década  de  1990 ,  muchas  personas  en  los  países  ricos  creían  que  todos  los  problemas  humanos  finalmente  podrían  resolverse . ||| Del  mismo  modo ,  era  tradicional  que  el  presidente  federal  no  saliera  de  Suiza  durante  su  año  en  el  cargo . ||| Del  mismo  modo ,  la  mayoría  indios  sudafricanos  hablan  Inglés  nativa  hoy . ||| Del  mismo  modo ,  V42,P  y  V24,P ,  deben  concordad . ||| Del  mismo  modo ,  algunos  centavos  de  acero  de  1944  han  sido  confirmados . ||| Del  mismo  modo ,  en  Tamil  Nadu  Andal  es  recordada  por  su  puro  amor  y  devoción ."
llevaron  a  cabo ,70,"Estos  no  fueron  las  intervenciones  únicas  llevaron  a  cabo  en  la  región  por  los  Estados  Unidos . ||| Sin  embargo ,  no  participaron  en  ninguno  de  los  campeonatos  nacionales  que  se  llevaron  a  cabo  en  ese  momento . ||| Además ,  se  llevaron  a  cabo  investigaciones  posteriores  en  el  período  1983-1985  para  estudiar  mejor  estos  restos . ||| A  fines  de  mayo ,  se  llevaron  a  cabo  5  vuelos  de  reconocimiento  sobre  la  ciudad . ||| En  Baréin ,  llevaron  a  cabo  patrullas  fronterizas  de  los  Trucial  States  de  entonces . ||| Octubre  2003 :  Unas  400  iniciativas  en  24  países  se  llevaron  a  cabo  durante  la  4.ª  Semana  de  Acción . ||| Durante  este  tiempo  se  llevaron  a  cabo  cuatro  referendos ,  todos  indicativos  de  los  problemas  que  enfrentaba  el  nuevo  estado . ||| Incluso  las  ejecuciones  en  la  región  se  llevaron  a  cabo  en  Ingelmunster . ||| Las  sentencias  se  llevaron  a  cabo  en  el  gimnasio  de  la  prisión  de  Nuremberg  por  el  Ejército  de  los  Estados  Unidos  utilizando  el  método  de  caída  estándar  en  lugar  de  la  caída  larga . ||| Las  sesiones  se  llevaron  a  cabo  en  el  estado  nororiental  de  Maine ,  Estados  Unidos  ,  donde  vive  su  productor  Rob  Graves  y  donde  también  se  grabó  su  lanzamiento  anterior ,  Of  Beauty  and  Rage  ( 2015 ) ."
tal  como ,69,"Todo  salió  tal  como  lo  planeamos . ||| Caperucita  Roja  ( tal  como  se  lo  contaron  a  Jorge ) . ||| La  tarea  más  importante  fue  reorganizar  los  estatutos  que  estaban  relacionados  tópicamente  pero  que  no  se  encontraban  cerca  uno  del  otro  en  los  estatutos  tal  como  existían . ||| Artículo  10 :  Persia  debía  aceptar  los  tratados  comerciales  con  Rusia  tal  como  esta  especificara . ||| El  propósito  de  este  principio ,  tal  como  lo  afirmara  posteriormente  Trotsky,​  es  promover  la  productividad . ||| Su  padre  tal  como  se  ve  en  el  episodio  5  también  es  un  presentador  de  noticias . ||| Es  el  ne  plus  ultra  de  la  pintura  francesa ,  o  más  bien ,  del  método  francés  tal  como  lo  aprendió  un  extranjero . ” ||| Las  fechas  de  las  exposiciones  se  citan  tal  como  aparecen  en  Brücke :  El  Nacimiento  del  Expresionismo  Alemán . ||| Sin  embargo ,  a  varios  amigos  de  la  banda  sí  les  gustó  el  álbum  y  en  abril  de  1993  Nirvana  tenía  la  intención  de  lanzar  In  Utero  tal  como  estaba . ||| Dos  años  antes  de  morir ,  renunció  a  la  abadesa  e  hizo  de  Odilo  su  coadjutor ,  tal  como  Aymard  había  hecho  con  él  muchos  años  antes ."
a  largo  plazo ,69,"Primero ,  me  gustaría  que  Alrosa  pueda  tener  contratos  directos  a  largo  plazo  con  más  empresas  indias . ||| En  Cars  2 ,  hay  una  crisis  energética ,  que  se  debe  a  la  ausencia  a  largo  plazo  de  los  humanos . ||| Sin  embargo ,  hubo  efectos  a  largo  plazo  de  la  operación . ||| Ha  explorado  cómo  los  modelos  que  incorporan  ambigüedades ,  creencias  y  escepticismo  de  consumidores  e  inversores  pueden  explicar  los  datos  económicos  y  financieros  y  revelar  las  consecuencias  a  largo  plazo  de  las  opciones  de  política . ||| Ese  mismo  mes ,  él  y  varios  productos  de  los  jóvenes  compañeros  se  adjudicaron  a  largo  plazo  las  prórrogas  de  contrato . ||| Chandler  resaltó  la  importancia  de  tomar  una  perspectiva  a  largo  plazo  cuando  se  mira  hacia  el  futuro . ||| BHL-Europa  también  era  responsable  de  la  creación  de  estructuras  para  almacenamiento  a  largo  plazo  de  la  información  digital  ( durabilidad  de  los  datos  digitales ) . ||| La  integración  en  las  estructuras  militares  de  la  OTAN  se  convirtió  en  una  tarea  a  largo  plazo  de  las  Fuerzas  Armadas  Lituanas . ||| Tal  resultado ,  según  Jacobs ,  a  largo  plazo  condenaría  la  independencia  de  Quebec  tanto  como  obstaculizaría  el  propio  futuro  de  Canadá . ||| Pero  en  este  último  caso ,  para  proporcionar  la  tensión  y  el  drama  necesario ,  el  segundo  candidato  platónico  es  también  muy  a  menudo  el  héroe  o  a  largo  plazo  novio  de  heroína  o  novia ."
da  cuenta  de ,68,"Ian  luego  se  da  cuenta  de  que  las  chicas  se  quieren  y  resuelve  su  disputa . ||| Él  usa  la  máquina  en  otros  zapatos ,  y  se  da  cuenta  de  lo  que  puede  hacer  con  esto . ||| Sin  embargo ,  el  hombre  ciego  encuentra  los  zapatos  de  Rocky  y  se  da  cuenta  de  que  Money  no  era  el  único  intruso . ||| Ezekiel  se  da  cuenta  de  que  Carol  cree  que  Henry  está  muerto . ||| John  se  da  cuenta  de  que  el  Círculo  Osseus  ha  regresado . ||| Al  día  siguiente ,  Marge  se  da  cuenta  de  que  los  ancianos  están  extremadamente  deprimidos . ||| Más  tarde  se  da  cuenta  de  que ,  al  final ,  no  importa  lo  que  haga  Kou  sólo  tiene  ojos  para  Nino . ||| Eva ,  sin  embargo ,  se  da  cuenta  de  que  Edward  todavía  está  vivo  y  en  Eel  Marsh  House . ||| Deanna  se  da  cuenta  de  esto  y  se  niega  a  permitir  que  Sasha  tenga  un  trabajo  como  este  tan  pronto . ||| Elise  se  da  cuenta  de  que ,  al  igual  que  Ted ,  su  padre  también  secuestró  a  mujeres  y  las  mantuvo  en  la  habitación  secreta ."
A  continuación,68,"A  continuación ,  Massaad  escribió  Mezze :  A  Labor  of  Love ,  que  incluye  recetas  para  la  creación  del  tradicional  plato  libanés . ||| A  continuación ,  y  a  modo  ilustrativo  les  ofrezco  un  completo  muestrario  de  "" Palabras  que  van  juntas "" :  Marco  incomparable ;  aledaños  del  estadio ;  prolegómenos  del  partido ;  se  especula  con  la  posibilidad ;  cita  ineludible ;  fecha  señalada ;  calma  tensa ;  situación  dantesca ;  los  Rolling  son  incombustibles ;  ¿ Y  el  Rey ,  cómo  es ? ||| A  continuación ,  Minaj  seleccionaría  a  5  ganadores . ||| A  continuación ,  se  eligió  un  nuevo  animal  simbólico . ||| A  continuación ,  Rossana  se  dirigió  a  la  Mestre  $  50 K  en  Italia . ||| A  continuación ,  presentó  otros  programas  en  Bélgica ,  entre  ellos  A  la  recherche  de  la  nouvelle  Star . ||| A  continuación ,  Robert  decide  estudiar  a  Alison  para  un  libro . ||| A  continuación ,  los  Kabras  tratar  de  disuadirlos  de  tomar  el  desafío . ||| A  continuación ,  muestra  que  hay  miles  de  otros  buques  emergentes  en  todo  el  mundo . ||| A  continuación ,  entran  en  la  mansión  para  encontrar  al  Profesor  y  su  tecnología ."
