mwe,frequency,length,type,idiomaticity_score,is_idiomatic,known_idiom
¡mi cara,0,2,noun_phrase,0.550,False,False
mi corazón,0,2,noun_phrase,0.550,False,False
¡mis ojos,0,2,noun_phrase,0.550,False,False
¿por qué,62,2,ngram,0.500,False,False
eso es,59,2,ngram,0.500,False,False
hacer eso.,9,2,ngram,0.500,False,False
qué lo,9,2,ngram,0.500,False,False
no fue,9,2,ngram,0.500,False,False
¿qué pasa,9,2,ngram,0.500,False,False
¿qué quieres,9,2,ngram,0.500,False,False
¿qué está,9,2,ngram,0.500,False,False
gracias a,9,2,ngram,0.500,False,False
¿a dónde,9,2,ngram,0.500,False,False
¿qué hay,9,2,ngram,0.500,False,False
no puedes,9,2,ngram,0.500,False,False
¿a qué,9,2,ngram,0.500,False,False
vas a,9,2,ngram,0.500,False,False
a hacer?,9,2,ngram,0.500,False,False
"de acuerdo,",9,2,ngram,0.500,False,False
es todo,9,2,ngram,0.500,False,False
no puede,9,2,ngram,0.500,False,False
claro que,9,2,ngram,0.500,False,False
¿cómo se,9,2,ngram,0.500,False,False
que hacer.,9,2,ngram,0.500,False,False
ese es,9,2,ngram,0.500,False,False
hacer esto.,9,2,ngram,0.500,False,False
es todo.,8,2,ngram,0.500,False,False
no he,8,2,ngram,0.500,False,False
no tienes,8,2,ngram,0.500,False,False
un momento.,8,2,ngram,0.500,False,False
es verdad.,8,2,ngram,0.500,False,False
¿sabes lo,8,2,ngram,0.500,False,False
mucho tiempo.,8,2,ngram,0.500,False,False
qué estás,8,2,ngram,0.500,False,False
lo hizo.,8,2,ngram,0.500,False,False
haciendo aquí?,8,2,ngram,0.500,False,False
lo creo.,8,2,ngram,0.500,False,False
no va,8,2,ngram,0.500,False,False
que estás,8,2,ngram,0.500,False,False
estás haciendo?,8,2,ngram,0.500,False,False
lo sabe.,8,2,ngram,0.500,False,False
buena idea.,8,2,ngram,0.500,False,False
¿por qué?,8,2,ngram,0.500,False,False
me siento,8,2,ngram,0.500,False,False
por aquí.,8,2,ngram,0.500,False,False
hablar con,8,2,ngram,0.500,False,False
qué te,8,2,ngram,0.500,False,False
por eso.,8,2,ngram,0.500,False,False
yo lo,8,2,ngram,0.500,False,False
tú lo,8,2,ngram,0.500,False,False
un minuto.,8,2,ngram,0.500,False,False
no puedo.,8,2,ngram,0.500,False,False
lo sabes.,7,2,ngram,0.500,False,False
"sí, es",7,2,ngram,0.500,False,False
todo lo,7,2,ngram,0.500,False,False
que hacerlo.,7,2,ngram,0.500,False,False
en serio?,7,2,ngram,0.500,False,False
que hacer,7,2,ngram,0.500,False,False
nos vemos,7,2,ngram,0.500,False,False
yo me,7,2,ngram,0.500,False,False
todo está,7,2,ngram,0.500,False,False
estoy muy,7,2,ngram,0.500,False,False
¿no te,7,2,ngram,0.500,False,False
esa es,7,2,ngram,0.500,False,False
la verdad.,7,2,ngram,0.500,False,False
eso fue,7,2,ngram,0.500,False,False
no voy,7,2,ngram,0.500,False,False
hay de,7,2,ngram,0.500,False,False
de qué,7,2,ngram,0.500,False,False
de eso.,7,2,ngram,0.500,False,False
deja de,7,2,ngram,0.500,False,False
te veré,7,2,ngram,0.500,False,False
un poco.,7,2,ngram,0.500,False,False
me voy,7,2,ngram,0.500,False,False
lo haré.,7,2,ngram,0.500,False,False
por supuesto.,7,2,ngram,0.500,False,False
¿cómo te,7,2,ngram,0.500,False,False
es cierto.,7,2,ngram,0.500,False,False
lo has,7,2,ngram,0.500,False,False
un problema.,7,2,ngram,0.500,False,False
en casa.,7,2,ngram,0.500,False,False
otra vez.,7,2,ngram,0.500,False,False
estoy aquí.,7,2,ngram,0.500,False,False
tiene que,7,2,ngram,0.500,False,False
una buena,7,2,ngram,0.500,False,False
qué no,7,2,ngram,0.500,False,False
"buenas noches,",7,2,ngram,0.500,False,False
¿qué ha,7,2,ngram,0.500,False,False
sé lo,7,2,ngram,0.500,False,False
mi culpa.,7,2,ngram,0.500,False,False
dame un,7,2,ngram,0.500,False,False
qué es?,7,2,ngram,0.500,False,False
tengo una,7,2,ngram,0.500,False,False
me gusta.,7,2,ngram,0.500,False,False
¿sabes qué?,7,2,ngram,0.500,False,False
más tarde.,7,2,ngram,0.500,False,False
la cama.,7,2,ngram,0.500,False,False
"lo sé,",6,2,ngram,0.500,False,False
es demasiado,6,2,ngram,0.500,False,False
me voy.,6,2,ngram,0.500,False,False
mi casa.,6,2,ngram,0.500,False,False
me alegro,6,2,ngram,0.500,False,False
a dormir.,6,2,ngram,0.500,False,False
esta bien.,6,2,ngram,0.500,False,False
ya me,6,2,ngram,0.500,False,False
espero que,6,2,ngram,0.500,False,False
lo entiendo.,6,2,ngram,0.500,False,False
un segundo.,6,2,ngram,0.500,False,False
a todos.,6,2,ngram,0.500,False,False
supongo que,6,2,ngram,0.500,False,False
sé de,6,2,ngram,0.500,False,False
nada de,6,2,ngram,0.500,False,False
¿qué tal,6,2,ngram,0.500,False,False
lo hago.,6,2,ngram,0.500,False,False
es mío.,6,2,ngram,0.500,False,False
es bueno.,6,2,ngram,0.500,False,False
en paz.,6,2,ngram,0.500,False,False
crees que,6,2,ngram,0.500,False,False
a morir.,6,2,ngram,0.500,False,False
la policía.,6,2,ngram,0.500,False,False
a mí,6,2,ngram,0.500,False,False
estás haciendo,6,2,ngram,0.500,False,False
a ti.,6,2,ngram,0.500,False,False
qué es,6,2,ngram,0.500,False,False
¿qué me,6,2,ngram,0.500,False,False
puede ser.,6,2,ngram,0.500,False,False
¿dónde están,6,2,ngram,0.500,False,False
para ti.,6,2,ngram,0.500,False,False
estoy de,6,2,ngram,0.500,False,False
de aquí!,6,2,ngram,0.500,False,False
lo tengo.,6,2,ngram,0.500,False,False
no podemos,6,2,ngram,0.500,False,False
todo el,6,2,ngram,0.500,False,False
no importa.,6,2,ngram,0.500,False,False
una mierda.,6,2,ngram,0.500,False,False
sé que,6,2,ngram,0.500,False,False
en camino.,6,2,ngram,0.500,False,False
puedo hacer,6,2,ngram,0.500,False,False
tiene razón.,6,2,ngram,0.500,False,False
yo te,6,2,ngram,0.500,False,False
ha pasado?,6,2,ngram,0.500,False,False
¿qué quiere,6,2,ngram,0.500,False,False
qué no?,6,2,ngram,0.500,False,False
lo siento,6,2,ngram,0.500,False,False
lo hiciste.,6,2,ngram,0.500,False,False
¿quién te,6,2,ngram,0.500,False,False
"sí, estoy",5,2,ngram,0.500,False,False
te pasa?,5,2,ngram,0.500,False,False
que ir.,5,2,ngram,0.500,False,False
lo dije.,5,2,ngram,0.500,False,False
que sea.,5,2,ngram,0.500,False,False
fue un,5,2,ngram,0.500,False,False
un vistazo.,5,2,ngram,0.500,False,False
encantado de,5,2,ngram,0.500,False,False
de mí?,5,2,ngram,0.500,False,False
un placer.,5,2,ngram,0.500,False,False
salir de,5,2,ngram,0.500,False,False
¿y tú?,5,2,ngram,0.500,False,False
sólo un,5,2,ngram,0.500,False,False
¿puedo hablar,5,2,ngram,0.500,False,False
¿estás bien?,5,2,ngram,0.500,False,False
hace mucho,5,2,ngram,0.500,False,False
la puerta.,5,2,ngram,0.500,False,False
¿qué están,5,2,ngram,0.500,False,False
lo sabemos.,5,2,ngram,0.500,False,False
un trato.,5,2,ngram,0.500,False,False
hacer algo.,5,2,ngram,0.500,False,False
"no, por",5,2,ngram,0.500,False,False
¿no lo,5,2,ngram,0.500,False,False
¿es eso,5,2,ngram,0.500,False,False
¿y el,5,2,ngram,0.500,False,False
eres mi,5,2,ngram,0.500,False,False
tienes razón.,5,2,ngram,0.500,False,False
que si.,5,2,ngram,0.500,False,False
dios mío.,5,2,ngram,0.500,False,False
puedes hacer,5,2,ngram,0.500,False,False
estar bien.,5,2,ngram,0.500,False,False
es posible.,5,2,ngram,0.500,False,False
es suficiente.,5,2,ngram,0.500,False,False
por dios.,5,2,ngram,0.500,False,False
es culpa,5,2,ngram,0.500,False,False
estás hablando?,5,2,ngram,0.500,False,False
quiero hablar,5,2,ngram,0.500,False,False
tiene sentido.,5,2,ngram,0.500,False,False
el tiempo.,5,2,ngram,0.500,False,False
está pasando?,5,2,ngram,0.500,False,False
está mal.,5,2,ngram,0.500,False,False
"sí, ya",5,2,ngram,0.500,False,False
ya se,5,2,ngram,0.500,False,False
esta noche.,5,2,ngram,0.500,False,False
muy bueno.,5,2,ngram,0.500,False,False
ha pasado,5,2,ngram,0.500,False,False
sé qué,5,2,ngram,0.500,False,False
significa eso?,5,2,ngram,0.500,False,False
una locura.,5,2,ngram,0.500,False,False
he estado,5,2,ngram,0.500,False,False
te amo.,5,2,ngram,0.500,False,False
fue eso?,5,2,ngram,0.500,False,False
has hecho?,5,2,ngram,0.500,False,False
¿cómo me,5,2,ngram,0.500,False,False
buen hombre.,5,2,ngram,0.500,False,False
hablar contigo.,5,2,ngram,0.500,False,False
a hacer,5,2,ngram,0.500,False,False
tengo un,5,2,ngram,0.500,False,False
lo eres.,5,2,ngram,0.500,False,False
¿qué pasa?,5,2,ngram,0.500,False,False
a salvo.,5,2,ngram,0.500,False,False
estamos en,5,2,ngram,0.500,False,False
me gusta,5,2,ngram,0.500,False,False
lo veo.,5,2,ngram,0.500,False,False
lo se.,5,2,ngram,0.500,False,False
estoy en,5,2,ngram,0.500,False,False
por supuesto,5,2,ngram,0.500,False,False
supuesto que,5,2,ngram,0.500,False,False
a ver.,5,2,ngram,0.500,False,False
¿hay alguien,5,2,ngram,0.500,False,False
no hagas,5,2,ngram,0.500,False,False
te ves,5,2,ngram,0.500,False,False
me alegra,5,2,ngram,0.500,False,False
estoy tan,5,2,ngram,0.500,False,False
qué puedo,5,2,ngram,0.500,False,False
te veo,5,2,ngram,0.500,False,False
tengas razón.,5,2,ngram,0.500,False,False
"bien, gracias.",5,2,ngram,0.500,False,False
es gracioso.,5,2,ngram,0.500,False,False
¿qué has,5,2,ngram,0.500,False,False
lo sabía.,5,2,ngram,0.500,False,False
culpa mía.,5,2,ngram,0.500,False,False
te vayas.,5,2,ngram,0.500,False,False
qué se,5,2,ngram,0.500,False,False
es ese,5,2,ngram,0.500,False,False
yo también,5,2,ngram,0.500,False,False
no tienes que,4,3,ngram,0.500,False,False
me alegro de,4,3,ngram,0.500,False,False
creo que sí.,4,3,ngram,0.500,False,False
¿qué hay de,4,3,ngram,0.500,False,False
eso es todo.,4,3,ngram,0.500,False,False
lo que quieres?,4,3,ngram,0.500,False,False
¿qué quieres que,4,3,ngram,0.500,False,False
no puede ser.,4,3,ngram,0.500,False,False
¿cuál es el,4,3,ngram,0.500,False,False
una buena idea.,4,3,ngram,0.500,False,False
lo que es.,4,3,ngram,0.500,False,False
¿cuál es la,4,3,ngram,0.500,False,False
un buen hombre.,4,3,ngram,0.500,False,False
mira lo que,4,3,ngram,0.500,False,False
¿qué pasa con,4,3,ngram,0.500,False,False
te preocupes por,4,3,ngram,0.500,False,False
¿en qué puedo,4,3,ngram,0.500,False,False
gracias por la,3,3,ngram,0.500,False,False
es demasiado tarde.,3,3,ngram,0.500,False,False
un placer conocerte.,3,3,ngram,0.500,False,False
haz lo que,3,3,ngram,0.500,False,False
todo está bien.,3,3,ngram,0.500,False,False
esa es la,3,3,ngram,0.500,False,False
hace mucho tiempo.,3,3,ngram,0.500,False,False
voy a ir.,3,3,ngram,0.500,False,False
nada de eso.,3,3,ngram,0.500,False,False
vas a hacer?,3,3,ngram,0.500,False,False
¿cuál es tu,3,3,ngram,0.500,False,False
es tu problema?,3,3,ngram,0.500,False,False
lo he hecho.,3,3,ngram,0.500,False,False
lo he dicho.,3,3,ngram,0.500,False,False
lo voy a,3,3,ngram,0.500,False,False
no tiene nada,3,3,ngram,0.500,False,False
gracias por su,3,3,ngram,0.500,False,False
qué es eso?,3,3,ngram,0.500,False,False
un buen día.,3,3,ngram,0.500,False,False
lo que hago.,3,3,ngram,0.500,False,False
ya lo sé.,3,3,ngram,0.500,False,False
¿dónde están los,3,3,ngram,0.500,False,False
todo va a,3,3,ngram,0.500,False,False
no tiene sentido.,3,3,ngram,0.500,False,False
¿dónde está tu,3,3,ngram,0.500,False,False
lo que quieras.,3,3,ngram,0.500,False,False
tengo nada que,3,3,ngram,0.500,False,False
no volverá a,3,3,ngram,0.500,False,False
va a funcionar.,3,3,ngram,0.500,False,False
no creo que,3,3,ngram,0.500,False,False
creo que no.,3,3,ngram,0.500,False,False
esto es una,3,3,ngram,0.500,False,False
no hay nadie,3,3,ngram,0.500,False,False
¿qué vas a,3,3,ngram,0.500,False,False
gracias a dios.,3,3,ngram,0.500,False,False
qué no me,3,3,ngram,0.500,False,False
estoy de acuerdo.,3,3,ngram,0.500,False,False
"por favor, por",3,3,ngram,0.500,False,False
¿por qué te,3,3,ngram,0.500,False,False
tengo que ir,3,3,ngram,0.500,False,False
no he dicho,3,3,ngram,0.500,False,False
crees que vas?,3,3,ngram,0.500,False,False
"bien, de acuerdo.",3,3,ngram,0.500,False,False
no he hecho,3,3,ngram,0.500,False,False
¿qué se supone,3,3,ngram,0.500,False,False
se supone que,3,3,ngram,0.500,False,False
a ninguna parte.,3,3,ngram,0.500,False,False
claro que sí.,3,3,ngram,0.500,False,False
¿qué va a,3,3,ngram,0.500,False,False
es mi culpa.,3,3,ngram,0.500,False,False
¿qué demonios está,3,3,ngram,0.500,False,False
¡fuera de mi,3,3,ngram,0.500,False,False
la primera vez.,3,3,ngram,0.500,False,False
no hay problema.,3,3,ngram,0.500,False,False
que te vayas.,3,3,ngram,0.500,False,False
qué es esto?,3,3,ngram,0.500,False,False
es mi casa.,3,3,ngram,0.500,False,False
lo que estás,3,3,ngram,0.500,False,False
me temo que,3,3,ngram,0.500,False,False
¿por qué estás,3,3,ngram,0.500,False,False
"bien, está bien.",3,3,ngram,0.500,False,False
orgullosa de ti.,3,3,ngram,0.500,False,False
este es el,3,3,ngram,0.500,False,False
"está bien, está",3,3,ngram,0.500,False,False
que puedo hacer.,3,3,ngram,0.500,False,False
¿de qué se,3,3,ngram,0.500,False,False
que lo es.,3,3,ngram,0.500,False,False
¿qué es ese,3,3,ngram,0.500,False,False
¿dónde está el,3,3,ngram,0.500,False,False
¿por qué no me,3,4,ngram,0.500,False,False
¿qué se supone que,3,4,ngram,0.500,False,False
gracias a ti,0,3,noun_phrase,0.500,False,False
¿es una broma,0,3,noun_phrase,0.500,False,False
¿alguna otra pregunta,0,3,noun_phrase,0.500,False,False
¿de dónde vienes,0,3,noun_phrase,0.500,False,False
", mi dios",0,3,noun_phrase,0.500,False,False
es mi hermano,0,3,noun_phrase,0.500,False,False
toda la noche,0,3,noun_phrase,0.500,False,False
¿verdad que sí?,0,3,noun_phrase,0.500,False,False
¡oh dios mio!,0,3,noun_phrase,0.500,False,False
¿qué tal eso,0,3,noun_phrase,0.500,False,False
¿con quién hablas,0,3,noun_phrase,0.500,False,False
¡quítate de encima!,0,3,noun_phrase,0.500,False,False
¿que es esto,0,3,noun_phrase,0.500,False,False
es mi hermana,0,3,noun_phrase,0.500,False,False
es para ti,0,3,noun_phrase,0.500,False,False
¿en este momento,0,3,noun_phrase,0.500,False,False
vamos a casarnos,0,3,noun_phrase,0.500,False,False
¿a qué esperas,0,3,noun_phrase,0.500,False,False
es tu hija,0,3,noun_phrase,0.500,False,False
¿acerca de qué,0,3,noun_phrase,0.500,False,False
¡todo el mundo,0,3,noun_phrase,0.500,False,False
dame tu teléfono.,0,3,noun_phrase,0.500,False,False
no fue culpa,0,3,noun_phrase,0.500,False,False
¿pero por qué,0,3,noun_phrase,0.500,False,False
ahora mismo voy,0,3,noun_phrase,0.500,False,False
"buenas noches, papá.",0,3,noun_phrase,0.500,False,False
feliz año nuevo.,0,3,noun_phrase,0.500,False,False
¿y tú quién eres?,0,4,noun_phrase,0.500,False,False
"no, ¿por qué",0,3,noun_phrase,0.500,False,False
aléjate de ella.,0,3,noun_phrase,0.500,False,False
"sí, es ella",0,3,noun_phrase,0.500,False,False
gracias por la cena,0,4,noun_phrase,0.500,False,False
"eh, eh, eh.",0,3,noun_phrase,0.500,False,False
¿y luego qué,0,3,noun_phrase,0.500,False,False
gracias por el café,0,4,noun_phrase,0.500,False,False
¿por qué motivo,0,3,noun_phrase,0.500,False,False
eres un hijo,0,3,noun_phrase,0.500,False,False
¿y yo qué?,0,3,noun_phrase,0.500,False,False
"buenos días, caballeros.",0,3,noun_phrase,0.500,False,False
es su hijo,0,3,noun_phrase,0.500,False,False
sólo un momento,0,3,noun_phrase,0.500,False,False
gracias por la ayuda,0,4,noun_phrase,0.500,False,False
eres un asesino,0,3,noun_phrase,0.500,False,False
gracias por su ayuda,0,4,noun_phrase,0.500,False,False
"¡por favor, ayúdenme",0,3,noun_phrase,0.500,False,False
es mi papá,0,3,noun_phrase,0.500,False,False
no podemos arriesgarnos,0,3,noun_phrase,0.500,False,False
¿y por qué,0,3,noun_phrase,0.500,False,False
es para mí,0,3,noun_phrase,0.500,False,False
", del hijo",0,3,noun_phrase,0.500,False,False
oh dios mio.,0,3,noun_phrase,0.500,False,False
oh dios mío.,0,3,noun_phrase,0.500,False,False
"sí, su majestad",0,3,noun_phrase,0.500,False,False
¿qué problema tienes,0,3,noun_phrase,0.500,False,False
soy un desastre,0,3,noun_phrase,0.500,False,False
no más preguntas,0,3,noun_phrase,0.500,False,False
es toda tuya.,0,3,noun_phrase,0.500,False,False
"ah, eres tú",0,3,noun_phrase,0.500,False,False
¿es un mal momento,0,4,noun_phrase,0.500,False,False
no era yo,0,3,noun_phrase,0.500,False,False
así es la vida,0,4,noun_phrase,0.500,False,False
es tu turno,0,3,noun_phrase,0.500,False,False
¿por qué dices,0,3,noun_phrase,0.500,False,False
no fue nada,0,3,noun_phrase,0.500,False,False
una última cosa,0,3,noun_phrase,0.500,False,False
¡la puta madre!,0,3,noun_phrase,0.500,False,False
¿con qué propósito,0,3,noun_phrase,0.500,False,False
que bueno verte,0,3,noun_phrase,0.500,False,False
"buenos días, señor.",0,3,noun_phrase,0.500,False,False
no fue mi intención,0,4,noun_phrase,0.500,False,False
claro que lo,0,3,noun_phrase,0.500,False,False
es mucho dinero,0,3,noun_phrase,0.500,False,False
¿de qué tipo,0,3,noun_phrase,0.500,False,False
¡hijo de perra!,0,3,noun_phrase,0.500,False,False
es mi esposa,0,3,noun_phrase,0.500,False,False
"no, es verdad",0,3,noun_phrase,0.500,False,False
es mi hijo,0,3,noun_phrase,0.500,False,False
gracias de todos modos.,0,4,noun_phrase,0.500,False,False
es tu decisión,0,3,noun_phrase,0.500,False,False
¡a por ellos,0,3,noun_phrase,0.500,False,False
gracias a usted,0,3,noun_phrase,0.500,False,False
sólo un poco,0,3,noun_phrase,0.500,False,False
¿y el dinero,0,3,noun_phrase,0.500,False,False
fue un placer,0,3,noun_phrase,0.500,False,False
gracias a dios,0,3,noun_phrase,0.500,False,False
estamos en camino,0,3,noun_phrase,0.500,False,False
"buenas noches, querida.",0,3,noun_phrase,0.500,False,False
un gusto conocerte,0,3,noun_phrase,0.500,False,False
eres un cerdo,0,3,noun_phrase,0.500,False,False
eres un monstruo,0,3,noun_phrase,0.500,False,False
¿sabes quién es?,0,3,noun_phrase,0.500,False,False
es su decisión,0,3,noun_phrase,0.500,False,False
todo el día,0,3,noun_phrase,0.500,False,False
ni de coña,0,3,noun_phrase,0.500,False,False
sólo un minuto,0,3,noun_phrase,0.500,False,False
¡a por él,0,3,noun_phrase,0.500,False,False
tómate tu tiempo.,0,3,noun_phrase,0.500,False,False
eres mi amigo,0,3,noun_phrase,0.500,False,False
¿por qué sonríes,0,3,noun_phrase,0.500,False,False
¿estamos de acuerdo,0,3,noun_phrase,0.500,False,False
ha sido un placer,0,4,noun_phrase,0.500,False,False
es tu culpa,0,3,noun_phrase,0.500,False,False
¿y para qué,0,3,noun_phrase,0.500,False,False
fue una locura,0,3,noun_phrase,0.500,False,False
solo un minuto,0,3,noun_phrase,0.500,False,False
fue mi culpa,0,3,noun_phrase,0.500,False,False
"buenos días, señora.",0,3,noun_phrase,0.500,False,False
fue un error,0,3,noun_phrase,0.500,False,False
soy un idiota,0,3,noun_phrase,0.500,False,False
encantada de conocerte.,0,3,noun_phrase,0.500,False,False
¿y ahora qué,0,3,noun_phrase,0.500,False,False
soy tu amigo,0,3,noun_phrase,0.500,False,False
ni lo pienses,0,3,noun_phrase,0.500,False,False
gracias por todo,0,3,noun_phrase,0.500,False,False
no era mi intención,0,4,noun_phrase,0.500,False,False
una mejor idea,0,3,noun_phrase,0.500,False,False
¿qué demonios haces,0,3,noun_phrase,0.500,False,False
eres mi hermano,0,3,noun_phrase,0.500,False,False
qué mala suerte,0,3,noun_phrase,0.500,False,False
está en camino,0,3,noun_phrase,0.500,False,False
¡aléjate de mí!,0,3,noun_phrase,0.500,False,False
supuesto que lo,0,3,noun_phrase,0.500,False,False
fue una broma,0,3,noun_phrase,0.500,False,False
¿qué tal esto?,0,3,noun_phrase,0.500,False,False
la menor idea,0,3,noun_phrase,0.500,False,False
ahora mismo vuelvo,0,3,noun_phrase,0.500,False,False
dime la verdad.,0,3,noun_phrase,0.500,False,False
eres un idiota,0,3,noun_phrase,0.500,False,False
nada de malo,0,3,noun_phrase,0.500,False,False
¿y los demás,0,3,noun_phrase,0.500,False,False
está en problemas,0,3,noun_phrase,0.500,False,False
un buen hombre,0,3,noun_phrase,0.500,False,False
es tu hijo,0,3,noun_phrase,0.500,False,False
un mal presentimiento,0,3,noun_phrase,0.500,False,False
estaremos en contacto,0,3,noun_phrase,0.500,False,False
¿es eso correcto,0,3,noun_phrase,0.500,False,False
¿a esta hora,0,3,noun_phrase,0.500,False,False
¡a sus puestos,0,3,noun_phrase,0.500,False,False
¡aléjate de mi!,0,3,noun_phrase,0.500,False,False
la maldita puerta,0,3,noun_phrase,0.500,False,False
"buenas noches, señor.",0,3,noun_phrase,0.500,False,False
las dos cosas,0,3,noun_phrase,0.500,False,False
soy todo oídos,0,3,noun_phrase,0.500,False,False
soy un hombre,0,3,noun_phrase,0.500,False,False
ni una vez,0,3,noun_phrase,0.500,False,False
no otra vez,0,3,noun_phrase,0.500,False,False
¿qué tal tú,0,3,noun_phrase,0.500,False,False
todo el tiempo,0,3,noun_phrase,0.500,False,False
es bueno verte,0,3,noun_phrase,0.500,False,False
y una cosa,0,3,noun_phrase,0.500,False,False
fin de la historia.,0,4,noun_phrase,0.500,False,False
ahora es mi turno,0,4,noun_phrase,0.500,False,False
¿tú quién eres?,0,3,noun_phrase,0.500,False,False
es mi marido,0,3,noun_phrase,0.500,False,False
soy su madre,0,3,noun_phrase,0.500,False,False
"tres, dos, uno",0,3,noun_phrase,0.500,False,False
así son las cosas,0,4,noun_phrase,0.500,False,False
gracias por tu ayuda,0,4,noun_phrase,0.500,False,False
no puedo decírtelo,0,3,noun_phrase,0.500,False,False
¿estás de coña?,0,3,noun_phrase,0.500,False,False
